epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_avg,objective,weight_group:0,weight_group:1,weight_group:2,count_group:0,count_group:1,count_group:2,count
0,8,0.6263868808746338,0.7396573424339294,0.5245835185050964,0.6298111133575438,0.6537216901779175,0.5131195783615112,0.9425286054611206,0.7060000014305116,0.6286016454696656,0.33317190408706665,0.3348386883735657,0.3319932520389557,309.0,343.0,348.0,1000
1,8,0.48805612325668335,0.5615384578704834,0.2964925467967987,0.4537157230377198,0.8444444537162781,0.7267267107963562,1.0,0.8530000038146974,0.4502469725608826,0.333792507648468,0.338032066822052,0.3283476233482361,360.0,333.0,307.0,1000
2,8,0.3882672190666199,0.4408586621284485,0.19255319237709045,0.3411566109657288,0.9069069623947144,0.8571428656578064,1.0,0.9210000014305114,0.34410795736312866,0.3348453640937805,0.3408823013305664,0.3242311477661133,333.0,336.0,331.0,1000
3,8,0.33689436316490173,0.39614325761795044,0.1399509459733963,0.28857947397232053,0.9359755516052246,0.8445121645927429,1.0,0.9280000057220459,0.29401241517066956,0.3360673189163208,0.34369102120399475,0.3201899826526642,328.0,328.0,344.0,1000
4,8,0.3398591876029968,0.3776228427886963,0.10920687764883041,0.2778541851043701,0.9439527988433838,0.8842729330062866,1.0,0.9420000019073484,0.2796891465187073,0.33757713437080383,0.34628140926361084,0.3161991238594055,339.0,337.0,324.0,1000
5,8,0.29347336292266846,0.3241370618343353,0.08952903747558594,0.24272643756866455,0.9602273106575012,0.890489935874939,1.0,0.9480000009536744,0.24005365014076235,0.33897876739501953,0.348969042301178,0.3121465742588043,352.0,347.0,301.0,1000
6,8,0.3009743392467499,0.3369128704071045,0.07474644482135773,0.2417814303636551,0.9281250238418579,0.8698061108589172,1.0,0.9300000014305115,0.24490607833862302,0.34044724702835083,0.3514617085456848,0.3081068694591522,320.0,361.0,319.0,1000
7,8,0.2836194336414337,0.3078736662864685,0.06439664959907532,0.22139742362499237,0.9429429769515991,0.8956521153450012,1.0,0.9450000009536743,0.22458221292495728,0.34202876687049866,0.3539775609970093,0.30394473671913147,333.0,345.0,322.0,1000
8,8,0.25658220052719116,0.29737889766693115,0.05601508542895317,0.20638374197483061,0.9408449530601501,0.8780487775802612,1.0,0.9390000019073486,0.2108413916826248,0.34352338314056396,0.356160968542099,0.3002125918865204,355.0,328.0,317.0,1000
9,8,0.2842898964881897,0.29533618688583374,0.05004722252488136,0.2097423006296158,0.9216867685317993,0.8982036113739014,1.0,0.9400000052452089,0.21923953628540038,0.34507206082344055,0.3585070073604584,0.29643481969833374,332.0,334.0,334.0,1000
10,8,0.27931880950927734,0.2987295389175415,0.04512397199869156,0.20886836767196654,0.903323233127594,0.8970587253570557,1.0,0.9330000019073484,0.21838198804855347,0.34687572717666626,0.36078885197639465,0.2922710180282593,331.0,340.0,329.0,1000
11,8,0.2592945694923401,0.2595955729484558,0.04093613103032112,0.18580801033973696,0.9333332777023315,0.9189189672470093,1.0,0.95100000333786,0.19665786695480345,0.348463237285614,0.36303916573524475,0.2885243892669678,330.0,333.0,337.0,1000
12,8,0.2626953423023224,0.2577992379665375,0.03731396794319153,0.18728199684619903,0.9133127331733704,0.9342857599258423,1.0,0.9490000042915344,0.19816204512119295,0.35040929913520813,0.3646496534347534,0.2849336564540863,323.0,350.0,327.0,1000
13,8,0.26489031314849854,0.2578830420970917,0.03403707221150398,0.18348635542392733,0.9058823585510254,0.9148264527320862,1.0,0.9410000042915344,0.19712249934673312,0.3523769676685333,0.3664007782936096,0.2812032699584961,340.0,317.0,343.0,1000
14,8,0.2669123709201813,0.2535020709037781,0.0311423409730196,0.18429959011077882,0.9024388790130615,0.9237536191940308,1.0,0.9420000019073486,0.19704375696182252,0.35443782806396484,0.36803123354911804,0.27750375866889954,328.0,341.0,331.0,1000
15,8,0.24924597144126892,0.26028990745544434,0.02906886488199234,0.18596836173534395,0.9040698409080505,0.9088320136070251,1.0,0.9350000033378602,0.19352664709091189,0.35625946521759033,0.3699834644794464,0.27372729778289795,344.0,351.0,305.0,1000
16,8,0.25401628017425537,0.2605862617492676,0.027179762721061707,0.18208110892772675,0.9096384644508362,0.8973606824874878,1.0,0.9350000014305114,0.19516265320777898,0.35768795013427734,0.37207043170928955,0.27033495903015137,332.0,341.0,327.0,1000
17,8,0.23767408728599548,0.22399502992630005,0.02547241561114788,0.16576896703243252,0.9156978130340576,0.9262536764144897,1.0,0.9460000057220459,0.17533276093006134,0.3595654368400574,0.37365737557411194,0.2667170464992523,344.0,339.0,317.0,1000
18,8,0.26360321044921875,0.2586838901042938,0.024116957560181618,0.17953753554821014,0.8980891704559326,0.8888887763023376,1.0,0.930000002861023,0.1964242568016052,0.3614337742328644,0.3751574158668518,0.2634831368923187,314.0,342.0,344.0,1000
19,8,0.23204120993614197,0.2192339152097702,0.022893674671649933,0.16329915821552277,0.9115044474601746,0.9406779408454895,1.0,0.9490000009536743,0.17263744962215424,0.36309099197387695,0.37685835361480713,0.2600747048854828,339.0,354.0,307.0,1000
20,8,0.2346777617931366,0.21387170255184174,0.02150869183242321,0.1610690405368805,0.9241573810577393,0.9305135607719421,1.0,0.9500000019073486,0.17071261429786683,0.3648568093776703,0.37824639678001404,0.25686895847320557,356.0,331.0,313.0,1000
21,8,0.2197023630142212,0.20760001242160797,0.020332634449005127,0.14818274462223052,0.9255951642990112,0.944615364074707,1.0,0.9570000033378601,0.16431535959243776,0.3667169213294983,0.3792799413204193,0.25393974781036377,336.0,325.0,339.0,1000
22,8,0.2485359162092209,0.21636492013931274,0.019106656312942505,0.1569309531450272,0.9116719961166382,0.9181817770004272,1.0,0.9450000042915344,0.179035058259964,0.3685044050216675,0.3806098699569702,0.25082263350486755,317.0,330.0,353.0,1000
23,8,0.2261177897453308,0.20378708839416504,0.01832031086087227,0.15048624944686892,0.9179330468177795,0.9418604373931885,1.0,0.9530000033378602,0.16617222189903258,0.3705331087112427,0.3816182315349579,0.24787819385528564,329.0,344.0,327.0,1000
24,8,0.25400209426879883,0.26317065954208374,0.017215244472026825,0.17983521866798402,0.9098837971687317,0.8939393162727356,1.0,0.9340000028610228,0.19858317279815674,0.3721659481525421,0.38328102231025696,0.2444542497396469,344.0,330.0,326.0,1000
25,8,0.24113403260707855,0.24512986838817596,0.016597451642155647,0.17229658699035647,0.914110541343689,0.9030470848083496,1.0,0.9370000066757201,0.18857813835144044,0.37385767698287964,0.3850346505641937,0.24101778864860535,326.0,361.0,313.0,1000
26,8,0.25559312105178833,0.23626886308193207,0.015959618613123894,0.17042307734489442,0.9036145210266113,0.9147058725357056,1.0,0.9390000028610229,0.19012149322032929,0.3754119277000427,0.38678157329559326,0.23786775767803192,332.0,340.0,328.0,1000
27,8,0.231233611702919,0.2442520707845688,0.015448245219886303,0.16513159561157226,0.9396551847457886,0.8987730145454407,1.0,0.9460000057220458,0.18514341306686402,0.3771379292011261,0.3883330225944519,0.23452624678611755,348.0,326.0,326.0,1000
28,8,0.22960670292377472,0.2269836664199829,0.014832681976258755,0.15639897727966307,0.9337175488471985,0.9177215695381165,1.0,0.9510000019073487,0.17983702433109283,0.3788175880908966,0.3898487389087677,0.23139451444149017,347.0,316.0,337.0,1000
29,8,0.2177831381559372,0.22816389799118042,0.014323010109364986,0.15107733184099198,0.9247649312019348,0.9136903882026672,1.0,0.9470000057220459,0.1755451021194458,0.379941463470459,0.3916754424571991,0.22837455570697784,319.0,336.0,345.0,1000
30,8,0.2757333517074585,0.2303406298160553,0.013883133418858051,0.16962650823593142,0.8856305480003357,0.9218240976333618,1.0,0.9370000066757203,0.20072367501258853,0.3817008435726166,0.39301472902297974,0.2252618968486786,341.0,307.0,352.0,1000
31,8,0.2117951512336731,0.23501281440258026,0.013576239347457886,0.15583944368362426,0.9233038425445557,0.902654767036438,1.0,0.9410000052452085,0.176315087556839,0.38357987999916077,0.3943411409854889,0.22223535180091858,339.0,339.0,322.0,1000
