epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_group:3,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_group:3,acc_avg,objective,weight_group:0,weight_group:1,weight_group:2,weight_group:3,count_group:0,count_group:1,count_group:2,count_group:3,count
0,38,0.4586155116558075,0.4483398199081421,0.43702685832977295,0.4963739812374115,0.45982110633342915,0.8068183064460754,0.8391836881637573,0.824278712272644,0.7870689034461975,0.814598540419458,0.45842206790126544,0.25035497546195984,0.24908539652824402,0.2493152618408203,0.2512732148170471,1232.0,1225.0,1178.0,1160.0,4795
1,38,0.15531760454177856,0.14923416078090668,0.09585089236497879,0.24683383107185364,0.1622107868072139,0.9660595059394836,0.9839571118354797,0.9813007116317749,0.9190285205841064,0.9620437956204377,0.1610256228677548,0.24927297234535217,0.24848315119743347,0.24463653564453125,0.2575773000717163,1208.0,1122.0,1230.0,1235.0,4795
2,38,0.09214383363723755,0.06778982281684875,0.029475858435034752,0.16714239120483398,0.08905610103039721,0.9776489734649658,1.0,1.0,0.9368687272071838,0.9787278415015643,0.08950305614033878,0.24931427836418152,0.24665309488773346,0.23850394785404205,0.2655894160270691,1208.0,1212.0,1187.0,1188.0,4795
3,38,0.05820851027965546,0.048646699637174606,0.019262393936514854,0.10484281927347183,0.05756601510070288,0.9905090928077698,1.0,1.0,0.9569180011749268,0.9868613135702791,0.058048365039049754,0.2492188960313797,0.24529026448726654,0.2339172661304474,0.2715712785720825,1159.0,1199.0,1230.0,1207.0,4795
4,38,0.0448877178132534,0.03556177020072937,0.013643025420606136,0.06461077183485031,0.03911028585325812,0.9934639930725098,1.0,1.0,0.9816113114356995,0.9939520335048282,0.03978623589491074,0.24930760264396667,0.24449893832206726,0.23118463158607483,0.2749786972999573,1224.0,1171.0,1258.0,1142.0,4795
5,38,0.034055404365062714,0.023203210905194283,0.012543014250695705,0.045193206518888474,0.028491991017173042,0.9956292510032654,1.0,1.0,0.9932375550270081,0.9972888425443174,0.028527662495580405,0.2494039237499237,0.24383753538131714,0.2293999195098877,0.27737826108932495,1144.0,1242.0,1226.0,1183.0,4795
6,38,0.03032219037413597,0.02012171410024166,0.01119636744260788,0.032114461064338684,0.023451906245112484,0.995759129524231,1.0,1.0,0.9983660578727722,0.9985401459854012,0.023096501496664174,0.24988728761672974,0.24334439635276794,0.2281542867422104,0.27860647439956665,1179.0,1189.0,1203.0,1224.0,4795
7,38,0.019746504724025726,0.015012809075415134,0.01050368882715702,0.02735297940671444,0.018143298161896852,1.0,1.0,1.0,0.99664705991745,0.9991657977059436,0.018059783761425485,0.2501869201660156,0.24308492243289948,0.22734563052654266,0.2793810963630676,1206.0,1194.0,1202.0,1193.0,4795
8,38,0.019166506826877594,0.014961061999201775,0.010583427734673023,0.021718705072999,0.016615390729419387,0.9959017634391785,1.0,1.0,0.9966750741004944,0.9981230448383732,0.01626837944089434,0.2503465414047241,0.2428109049797058,0.22673670947551727,0.28010058403015137,1220.0,1155.0,1217.0,1203.0,4795
9,38,0.02123662643134594,0.014009537175297737,0.008865081705152988,0.020051993429660797,0.016043484447537545,0.9983539581298828,1.0,1.0,1.0,0.9995828988529718,0.015630057503831524,0.25068727135658264,0.24264223873615265,0.2261592596769333,0.28050699830055237,1215.0,1266.0,1163.0,1151.0,4795
10,38,0.01598341576755047,0.009971586056053638,0.010267475619912148,0.020498594269156456,0.014331239916974676,0.9991673827171326,1.0,1.0,1.0,0.9997914494264857,0.013738930337636018,0.25082841515541077,0.24233828485012054,0.22573316097259521,0.2810918986797333,1201.0,1121.0,1207.0,1266.0,4795
11,38,0.013949887827038765,0.011576395481824875,0.009286840446293354,0.017000434920191765,0.012930652198339963,0.9991618394851685,1.0,1.0,1.0,0.9997914494264857,0.01271627852430993,0.2509908974170685,0.24210748076438904,0.2253933995962143,0.281501442193985,1193.0,1162.0,1241.0,1199.0,4795
12,38,0.014814981259405613,0.013002303428947926,0.008048716001212597,0.013262222521007061,0.012346137056323356,0.9983819127082825,1.0,1.0,1.0,0.999582898852972,0.012067273887295794,0.2511295974254608,0.24213071167469025,0.22506554424762726,0.28167375922203064,1236.0,1237.0,1149.0,1173.0,4795
13,38,0.010984155349433422,0.009657693095505238,0.009771672077476978,0.016542231664061546,0.011665273941004486,1.0,1.0,1.0,1.0,1.0,0.011664277578901198,0.2512374818325043,0.24202413856983185,0.22476910054683685,0.2819744348526001,1136.0,1269.0,1231.0,1159.0,4795
14,38,0.012793791480362415,0.010845652781426907,0.009446538984775543,0.014682984910905361,0.011915669675500788,1.0,1.0,1.0,1.0,1.0,0.011614797068167404,0.2512069344520569,0.2418580800294876,0.22461168467998505,0.2823280692100525,1180.0,1204.0,1226.0,1185.0,4795
15,38,0.012094046920537949,0.010043462738394737,0.009899336844682693,0.014097323641180992,0.011578614011841973,1.0,1.0,1.0,1.0,1.0,0.01134853657292313,0.25125542283058167,0.24175825715065002,0.22445189952850342,0.28254058957099915,1184.0,1168.0,1184.0,1259.0,4795
16,38,0.012783066369593143,0.0123823881149292,0.009402118623256683,0.01397752482444048,0.012145951700254082,1.0,1.0,1.0,1.0,1.0,0.011819922548405075,0.2513214349746704,0.2416583001613617,0.22425642609596252,0.2827681601047516,1176.0,1229.0,1184.0,1206.0,4795
17,38,0.012005168944597244,0.010875076986849308,0.010184042155742645,0.013409614562988281,0.011630265471429346,1.0,1.0,1.0,1.0,1.0,0.011400316258634092,0.25134897232055664,0.24166393280029297,0.22407947480678558,0.2829110324382782,1208.0,1185.0,1188.0,1214.0,4795
18,38,0.014046115800738335,0.012564229778945446,0.01025175116956234,0.014017746783792973,0.012686601526281632,1.0,1.0,1.0,1.0,1.0,0.012365288049277848,0.2514176070690155,0.24161048233509064,0.22391296923160553,0.28306451439857483,1182.0,1256.0,1219.0,1138.0,4795
19,38,0.011570979841053486,0.011150075122714043,0.011481956578791142,0.01554306223988533,0.012460722159730259,1.0,1.0,1.0,1.0,1.0,0.012172248983237117,0.2514037489891052,0.24156592786312103,0.22378411889076233,0.28325265645980835,1181.0,1190.0,1197.0,1227.0,4795
20,38,0.01260482519865036,0.011398788541555405,0.012087112292647362,0.014642307534813881,0.012690298734145386,1.0,1.0,1.0,1.0,1.0,0.012388158891431609,0.2513103187084198,0.24140812456607819,0.22372280061244965,0.28356072306632996,1211.0,1145.0,1244.0,1195.0,4795
21,38,0.015647152438759804,0.015067950822412968,0.011609126813709736,0.013732087798416615,0.0140289638236134,1.0,1.0,1.0,1.0,1.0,0.013463952985123132,0.2513743042945862,0.24137720465660095,0.22360841929912567,0.28364408016204834,1250.0,1195.0,1209.0,1141.0,4795
22,38,0.013364839367568493,0.013236479833722115,0.013148300349712372,0.014412635006010532,0.013527676513043693,1.0,1.0,1.0,1.0,1.0,0.013088111112494416,0.251442551612854,0.2414282262325287,0.2234804481267929,0.28365325927734375,1229.0,1180.0,1240.0,1146.0,4795
23,38,0.01303111296147108,0.013077296316623688,0.014361158944666386,0.01577731966972351,0.014070779926942839,1.0,1.0,1.0,1.0,1.0,0.013693791215343946,0.2514176070690155,0.24136638641357422,0.22346393764019012,0.2837557792663574,1154.0,1227.0,1201.0,1213.0,4795
24,38,0.013436421751976013,0.014279276132583618,0.014454483985900879,0.01498436275869608,0.01429383237734515,1.0,1.0,1.0,1.0,1.0,0.013944075543849074,0.25132444500923157,0.24129575490951538,0.223494291305542,0.2838870584964752,1195.0,1191.0,1173.0,1236.0,4795
25,38,0.016233915463089943,0.015057002194225788,0.015357859432697296,0.016728103160858154,0.01585983143550295,1.0,1.0,1.0,1.0,1.0,0.015317468577461767,0.2512900233268738,0.24120572209358215,0.22350656986236572,0.28400135040283203,1215.0,1176.0,1166.0,1238.0,4795
26,38,0.01708410307765007,0.0170089490711689,0.015273800119757652,0.01574152149260044,0.01629003530816875,1.0,1.0,1.0,1.0,1.0,0.015777674895770488,0.2512608766555786,0.24117335677146912,0.22349481284618378,0.2840767502784729,1214.0,1218.0,1162.0,1201.0,4795
27,38,0.01644911617040634,0.01572226919233799,0.01730833761394024,0.018059860914945602,0.01688541296337332,1.0,1.0,1.0,1.0,1.0,0.016429458883308393,0.25129151344299316,0.24117666482925415,0.22345325350761414,0.28407973051071167,1142.0,1238.0,1195.0,1220.0,4795
