epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_avg,objective,weight_group:0,weight_group:1,weight_group:2,count_group:0,count_group:1,count_group:2,count
0,8,0.5017144680023193,0.49053341150283813,0.6706771850585938,0.5523872427940367,0.8201220035552979,0.8137535452842712,0.4984520375728607,0.7140000042915345,0.5549890384674072,0.3323708176612854,0.33237093687057495,0.33532577753067017,328.0,349.0,323.0,1000
1,8,0.5305817127227783,0.45700666308403015,0.5444907546043396,0.5107605087757111,0.7421383857727051,0.8328357934951782,0.8472622632980347,0.80900000333786,0.5104057095050812,0.33206892013549805,0.3307301104068756,0.33723556995391846,318.0,335.0,347.0,1000
2,8,0.5274927020072937,0.4094034433364868,0.4600142240524292,0.46559741091728213,0.7544910311698914,0.8776119351387024,0.9335347414016724,0.8550000033378602,0.46627238726615905,0.33327847719192505,0.3293599784374237,0.3373338580131531,334.0,335.0,331.0,1000
3,8,0.5791530013084412,0.39455682039260864,0.4137774109840393,0.4674042916297912,0.7229917645454407,0.8955695629119873,1.0,0.8670000033378601,0.4645430207252503,0.33571332693099976,0.3276440501213074,0.3366045653820038,361.0,316.0,323.0,1000
4,8,0.5787264704704285,0.38846465945243835,0.385081946849823,0.4501990511417388,0.699999988079071,0.8830083608627319,1.0,0.8590000019073487,0.45198705768585207,0.3388737738132477,0.32610148191452026,0.33507806062698364,330.0,359.0,311.0,1000
5,8,0.5679121017456055,0.35132506489753723,0.379707932472229,0.432822301864624,0.7194030284881592,0.9428570866584778,1.0,0.8860000014305114,0.4347210712432862,0.34245190024375916,0.32418519258499146,0.33338358998298645,335.0,350.0,315.0,1000
6,8,0.584771990776062,0.3583693206310272,0.35471826791763306,0.4304532060623169,0.7037037014961243,0.9146342277526855,1.0,0.8760000038146971,0.4352406091690063,0.3465982675552368,0.3218754529953003,0.3314155340194702,324.0,328.0,348.0,1000
7,8,0.6840505599975586,0.3595198392868042,0.3429323434829712,0.47235758042335513,0.6071428656578064,0.914826512336731,1.0,0.830000005722046,0.46870304918289185,0.3517785668373108,0.3195376992225647,0.32871630787849426,364.0,317.0,319.0,1000
8,8,0.6300638914108276,0.3531791567802429,0.3571702539920807,0.4422926065921783,0.6782335042953491,0.9135445356369019,1.0,0.8680000047683715,0.45376790308952336,0.35722216963768005,0.3168371319770813,0.32599395513534546,317.0,347.0,336.0,1000
9,8,0.594358503818512,0.3546728491783142,0.3359187841415405,0.42062528324127196,0.7384105324745178,0.9239436984062195,1.0,0.8940000019073486,0.43307920885086054,0.3615421950817108,0.31489038467407227,0.3237076997756958,302.0,355.0,343.0,1000
10,8,0.6598901748657227,0.34479770064353943,0.34564507007598877,0.4474934089183808,0.6984615325927734,0.9307229518890381,1.0,0.8790000023841859,0.46108736062049865,0.3674277365207672,0.31201499700546265,0.32063138484954834,325.0,332.0,343.0,1000
11,8,0.6494302153587341,0.3511016368865967,0.3498404026031494,0.4476245522499085,0.6830769181251526,0.9274924397468567,1.0,0.8730000009536745,0.46236433601379395,0.37328338623046875,0.30905985832214355,0.31763750314712524,325.0,331.0,344.0,1000
12,8,0.6223655939102173,0.37723827362060547,0.35825738310813904,0.4547891204357148,0.652046799659729,0.9204893112182617,1.0,0.8550000047683715,0.4634758710861206,0.378280907869339,0.3067629635334015,0.3148525357246399,342.0,327.0,331.0,1000
13,8,0.6401201486587524,0.36225229501724243,0.3523971438407898,0.45159113645553584,0.6736526489257812,0.9267516732215881,1.0,0.8680000009536742,0.4655968790054322,0.38294920325279236,0.30473577976226807,0.312300443649292,334.0,314.0,352.0,1000
14,8,0.5932909250259399,0.35963061451911926,0.3497263193130493,0.4310146656036377,0.7187500596046448,0.9319526553153992,1.0,0.8870000066757201,0.4473609919548035,0.3886476457118988,0.30213677883148193,0.3092223107814789,320.0,338.0,342.0,1000
15,8,0.6174492239952087,0.34654340147972107,0.3522132337093353,0.4357368307113647,0.6863353848457336,0.9277108907699585,1.0,0.8750000014305115,0.45686578226089475,0.39343732595443726,0.2994545102119446,0.3068922758102417,322.0,332.0,346.0,1000
16,8,0.6177412867546082,0.35060760378837585,0.34679099917411804,0.43260986399650575,0.6730769276618958,0.913690447807312,1.0,0.8690000023841857,0.462252989768982,0.39863985776901245,0.29699084162712097,0.3043195605278015,312.0,336.0,352.0,1000
17,8,0.572263240814209,0.37194013595581055,0.35325533151626587,0.43318962717056275,0.706231415271759,0.9054877161979675,1.0,0.870000006198883,0.44446067571640013,0.40336260199546814,0.2948271334171295,0.30174967646598816,337.0,328.0,335.0,1000
18,8,0.5636563897132874,0.34636861085891724,0.33983033895492554,0.42379061675071716,0.7076503038406372,0.9358974695205688,1.0,0.8730000061988831,0.43125764036178593,0.4074063003063202,0.292840838432312,0.2995016872882843,366.0,312.0,322.0,1000
19,8,0.5826024413108826,0.34662681818008423,0.3446618914604187,0.42833390355110174,0.7134670615196228,0.9221183657646179,1.0,0.8750000061988831,0.4456227848529816,0.4121994078159332,0.29077401757240295,0.2971149682998657,349.0,321.0,330.0,1000
20,8,0.5569763779640198,0.37655743956565857,0.3451744318008423,0.4302184417247772,0.7323943972587585,0.9171974658966064,1.0,0.8790000061988831,0.4438791313171387,0.41621342301368713,0.2889114022254944,0.2948574125766754,355.0,314.0,331.0,1000
21,8,0.6423894166946411,0.36502376198768616,0.34292322397232056,0.44607763385772703,0.6708464026451111,0.9101449251174927,1.0,0.8640000033378601,0.4766711964607239,0.42076489329338074,0.28695446252822876,0.29233431816101074,319.0,345.0,336.0,1000
22,8,0.6253915429115295,0.3707588315010071,0.3553258776664734,0.45085985255241395,0.6447760462760925,0.9085365533828735,1.0,0.8510000061988832,0.4752494668960571,0.42653846740722656,0.2843879461288452,0.2890896797180176,335.0,328.0,337.0,1000
