epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_avg,objective,weight_group:0,weight_group:1,weight_group:2,count_group:0,count_group:1,count_group:2,count
0,8,0.5713049173355103,0.6383723020553589,0.8498784303665161,0.6855779490470887,0.6852941513061523,0.6352584362030029,0.13897281885147095,0.4880000023841858,0.6861076502799986,0.3312572240829468,0.33262667059898376,0.33599966764450073,340.0,329.0,331.0,1000
1,8,0.5191419124603271,0.5732179284095764,0.5799141526222229,0.5572190260887147,0.6796407103538513,0.6480447053909302,0.8571428060531616,0.7230000023841858,0.5584164013862611,0.32957446575164795,0.33245599269866943,0.33795294165611267,334.0,358.0,308.0,1000
2,8,0.47943657636642456,0.4760863184928894,0.4534638822078705,0.4694902384281158,0.7370030879974365,0.717717707157135,1.0,0.8200000057220459,0.46979199433326724,0.32954469323158264,0.33269569277763367,0.33776581287384033,327.0,333.0,340.0,1000
3,8,0.466749906539917,0.44855672121047974,0.3746076822280884,0.4293802170753479,0.7650601267814636,0.7400611042976379,1.0,0.8370000061988832,0.429115773677826,0.3299914002418518,0.33317142724990845,0.33679506182670593,332.0,327.0,341.0,1000
4,8,0.5099117755889893,0.4402942955493927,0.3475548028945923,0.431225648164749,0.7215189933776855,0.753581702709198,1.0,0.8260000019073488,0.4323306379318237,0.33173230290412903,0.33342328667640686,0.334769606590271,316.0,349.0,335.0,1000
5,8,0.48781076073646545,0.40762442350387573,0.3267524540424347,0.4089272060394287,0.774193525314331,0.7685460448265076,1.0,0.845000006198883,0.4074012393951416,0.3336345851421356,0.3337208032608032,0.3326088786125183,341.0,337.0,322.0,1000
6,8,0.44088977575302124,0.35947802662849426,0.3126069903373718,0.3719372761249542,0.7994099855422974,0.8313609957695007,1.0,0.875000005722046,0.37188098502159117,0.33592960238456726,0.3333229124546051,0.3307308852672577,339.0,338.0,323.0,1000
7,8,0.472991943359375,0.38580119609832764,0.3056546151638031,0.39158786606788637,0.7605634331703186,0.7824773192405701,1.0,0.8430000057220459,0.3885457992553711,0.3380316495895386,0.33313193917274475,0.32886582612991333,355.0,331.0,314.0,1000
8,8,0.48350250720977783,0.3378051221370697,0.3041977882385254,0.3758372435569763,0.7463127374649048,0.8328173756599426,1.0,0.8600000014305114,0.3771424567699433,0.34063228964805603,0.3326648473739624,0.32671183347702026,339.0,323.0,338.0,1000
9,8,0.4584946930408478,0.3235222399234772,0.31376203894615173,0.3659789817333222,0.7433628439903259,0.8513931632041931,1.0,0.8650000009536742,0.3660348720550537,0.3437592387199402,0.3311292827129364,0.3251408636569977,339.0,323.0,338.0,1000
