epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_group:3,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_group:3,acc_avg,objective,alpha_group:0,alpha_group:1,alpha_group:2,alpha_group:3,count_group:0,count_group:1,count_group:2,count_group:3,count
0,38,0.4474223554134369,0.47094354033470154,0.3818826973438263,0.4453675150871277,0.4372797027059344,0.8556017875671387,0.7933279871940613,0.8812229037284851,0.8865130543708801,0.8535974973682567,0.43101200182010274,0.22568708658218384,0.25287169218063354,0.288181334733963,0.2333563268184662,1205.0,1229.0,1145.0,1216.0,4795
1,38,0.15076643228530884,0.1324949711561203,0.07470240443944931,0.24846675992012024,0.15290367397420473,0.962834894657135,0.9860504269599915,0.9877148866653442,0.9204723238945007,0.9635036493367027,0.1465321324928834,0.224509134888649,0.250692754983902,0.28837037086486816,0.23635324835777283,1157.0,1147.0,1221.0,1270.0,4795
2,38,0.09749200195074081,0.0672597661614418,0.02286868914961815,0.1602247953414917,0.0869102063280947,0.9729945063591003,0.9991555213928223,1.0,0.9341316819190979,0.9766423354680895,0.08252261526672881,0.2248592972755432,0.24881528317928314,0.283829927444458,0.24250471591949463,1259.0,1184.0,1183.0,1169.0,4795
3,38,0.05731890723109245,0.0460750088095665,0.01602127216756344,0.09938273578882217,0.05480189366932336,0.9916664361953735,1.0,1.0,0.9715719223022461,0.9908237744670465,0.05256402839491838,0.22520506381988525,0.24734532833099365,0.2794684171676636,0.24793215095996857,1200.0,1221.0,1178.0,1196.0,4795
4,38,0.03957680985331535,0.03221067413687706,0.011290871538221836,0.07054401189088821,0.03829919855198721,0.9957302212715149,1.0,1.0,0.9822935461997986,0.9945776850886341,0.037046198117642884,0.22571703791618347,0.246449813246727,0.276700496673584,0.25112584233283997,1171.0,1248.0,1190.0,1186.0,4795
5,38,0.04050357639789581,0.021970083937048912,0.010879650712013245,0.05825547128915787,0.03324717678852201,0.9911894798278809,1.0,1.0,0.982567310333252,0.9933263816475499,0.031047498753704175,0.22639277577400208,0.2456555962562561,0.2746013104915619,0.2534147799015045,1135.0,1248.0,1150.0,1262.0,4795
6,38,0.027439214289188385,0.02069650962948799,0.009008257649838924,0.03853871300816536,0.023793971776667058,0.9991438984870911,1.0,1.0,0.9898733496665955,0.9972888425443172,0.023179411755270704,0.2268500179052353,0.24491924047470093,0.2730000913143158,0.2552543878555298,1168.0,1230.0,1212.0,1185.0,4795
7,38,0.02681814320385456,0.015009806491434574,0.008716598153114319,0.03115336410701275,0.020354327283861804,0.9965126514434814,1.0,1.0,0.9959216713905334,0.9981230448383732,0.019552411392672966,0.227056622505188,0.24448195099830627,0.2718832790851593,0.25659433007240295,1147.0,1197.0,1225.0,1226.0,4795
8,38,0.021041961386799812,0.01501272153109312,0.008199913427233696,0.022264381870627403,0.016621852241363283,0.9975186586380005,1.0,1.0,0.9983178973197937,0.9989572471324294,0.015985784875432948,0.22754700481891632,0.24407431483268738,0.2710316479206085,0.25735875964164734,1209.0,1194.0,1203.0,1189.0,4795
9,38,0.019450943917036057,0.012884218245744705,0.007918579503893852,0.020971594378352165,0.01543724514481857,1.0,1.0,1.0,0.999170184135437,0.9997914494264861,0.014522357910630668,0.22788763046264648,0.2438531219959259,0.2704808712005615,0.2577698528766632,1246.0,1199.0,1145.0,1205.0,4795
