epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_avg,objective,weight_group:0,weight_group:1,weight_group:2,count_group:0,count_group:1,count_group:2,count
0,8,0.6346933245658875,0.5610586404800415,0.5787523984909058,0.5895268206596377,0.5954693555831909,0.60597825050354,0.5882353186607361,0.5970000019073487,0.5877355766296387,0.3337394595146179,0.33285167813301086,0.33345767855644226,309.0,368.0,323.0,1000
1,8,0.6394909620285034,0.4790453612804413,0.4438319802284241,0.5218003854751587,0.658823549747467,0.7138460874557495,0.8029850721359253,0.7250000052452089,0.5225481266975402,0.33634859323501587,0.3320345878601074,0.33160215616226196,340.0,325.0,335.0,1000
2,8,0.6083052754402161,0.3978762924671173,0.37709861993789673,0.46451906895637507,0.7126436829566956,0.8895522356033325,0.9305993318557739,0.8410000033378601,0.4615188410282135,0.3400076627731323,0.33051949739456177,0.3294546902179718,348.0,335.0,317.0,1000
3,8,0.6145823001861572,0.3659311532974243,0.3347119092941284,0.43566213679313653,0.7585139274597168,0.9171597957611084,0.9587021470069885,0.8800000052452086,0.44210452628135677,0.34451186656951904,0.32863613963127136,0.32676398754119873,323.0,338.0,339.0,1000
4,8,0.6469674706459045,0.35047221183776855,0.3056125044822693,0.43432925581932064,0.7349397540092468,0.9504372477531433,0.9876923561096191,0.8910000052452087,0.4358862407207489,0.3498160243034363,0.3265920579433441,0.32382848858833313,332.0,343.0,325.0,1000
5,8,0.6666702032089233,0.31088119745254517,0.29312193393707275,0.42734043622016904,0.7463556528091431,0.9795918464660645,1.0,0.9060000066757202,0.4326502838134766,0.35558176040649414,0.32401323318481445,0.3203757405281067,343.0,343.0,314.0,1000
6,8,0.5894891619682312,0.3238222301006317,0.30156221985816956,0.41105532670021055,0.8028169274330139,0.9969419240951538,1.0,0.929000005722046,0.4142194881439209,0.36198148131370544,0.3210051953792572,0.3170320987701416,355.0,327.0,318.0,1000
7,8,0.6488602757453918,0.28937453031539917,0.25721976161003113,0.39779117107391365,0.7801204919815063,1.0,1.0,0.927000002861023,0.4112753272056579,0.36768215894699097,0.3186560571193695,0.31377682089805603,332.0,328.0,340.0,1000
8,8,0.65815269947052,0.2945038974285126,0.2571268081665039,0.4073494818210602,0.7784256935119629,0.9970501661300659,1.0,0.9230000019073487,0.4207307221889496,0.37532806396484375,0.31508132815361023,0.3096601963043213,343.0,339.0,318.0,1000
9,8,0.5878021121025085,0.2896784543991089,0.23699362576007843,0.37728466796875,0.7897727489471436,0.9968652129173279,0.9908815026283264,0.9220000066757202,0.38860650491714477,0.38118594884872437,0.3127390444278717,0.3059692680835724,352.0,319.0,329.0,1000
10,8,0.7014245390892029,0.25834158062934875,0.2484775334596634,0.4022393460273742,0.7620481848716736,0.9970845580101013,1.0,0.9200000052452089,0.42639541673660275,0.38885006308555603,0.30942994356155396,0.3020610213279724,332.0,343.0,325.0,1000
