epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_group:3,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_group:3,acc_avg,objective,count_group:0,count_group:1,count_group:2,count_group:3,count
0,50,0.14848770201206207,0.5988773703575134,1.4864542484283447,0.6371056437492371,0.29510431841015794,0.9939498901367188,0.7118643522262573,0.125,0.5861110091209412,0.87875,0.29510431841015794,1157.0,59.0,24.0,360.0,1600
0,100,0.053929653018713,0.8393452167510986,1.668798565864563,0.3102860152721405,0.16527491554617876,0.9862895607948303,0.6027396321296692,0.2857142984867096,0.8820059299468994,0.9375,0.16527491554617876,1167.0,73.0,21.0,339.0,1600
0,150,0.0449356846511364,0.3481656014919281,1.41647469997406,0.19819338619709015,0.09867935326872948,0.9931857585906982,0.8461539149284363,0.3636363744735718,0.9245810508728027,0.9686520376175547,0.09867935326872948,1174.0,52.0,11.0,358.0,1595
1,50,0.025689980015158653,0.433612585067749,1.0011215209960938,0.12662839889526367,0.07493959803134202,0.9974337220191956,0.8103448748588562,0.6000000834465027,0.9575071334838867,0.9768750000000002,0.07493959803134202,1169.0,58.0,20.0,353.0,1600
1,100,0.023454833775758743,0.2924518287181854,0.5409491658210754,0.12458173930644989,0.06350554771721366,0.9982609152793884,0.8636364936828613,0.7222222089767456,0.9535520672798157,0.9793749999999996,0.06350554771721366,1150.0,66.0,18.0,366.0,1600
1,150,0.024214355275034904,0.36575576663017273,0.5433370471000671,0.11213040351867676,0.06155122740421921,0.9974554181098938,0.8500000834465027,0.7222222685813904,0.9704142808914185,0.9830721003134797,0.06155122740421921,1179.0,60.0,18.0,338.0,1595
2,50,0.013977364636957645,0.12037679553031921,0.19887453317642212,0.08105820417404175,0.035763436574488876,1.0,0.9836065769195557,0.9047619104385376,0.9753423929214478,0.9924999999999998,0.035763436574488876,1153.0,61.0,21.0,365.0,1600
2,100,0.015251376666128635,0.1133897677063942,0.29972925782203674,0.04957381263375282,0.03048324981704356,0.9991409182548523,0.9710145592689514,0.9000000357627869,0.988472580909729,0.9943749999999997,0.03048324981704356,1164.0,69.0,20.0,347.0,1600
2,150,0.01571640558540821,0.12241625785827637,0.30960553884506226,0.06262440979480743,0.032238907195324046,0.9991533160209656,0.9814814329147339,0.9333333373069763,0.9913042783737183,0.9962382445141067,0.032238907195324046,1181.0,54.0,15.0,345.0,1595
3,50,0.01116121094673872,0.06809862703084946,0.10977477580308914,0.04762190207839012,0.02258618061430752,1.0,1.0,1.0,0.9943978190422058,0.9987499999999997,0.02258618061430752,1163.0,63.0,17.0,357.0,1600
3,100,0.011548652313649654,0.062338076531887054,0.18143001198768616,0.043285153806209564,0.022715595662593843,0.9991430640220642,1.0,0.9545454978942871,0.9971751570701599,0.9981249999999999,0.022715595662593843,1167.0,57.0,22.0,354.0,1600
3,150,0.011125292629003525,0.07264629751443863,0.17896372079849243,0.027720414102077484,0.018982662851440492,0.9991437792778015,0.984375,0.9411764740943909,0.9971098899841309,0.9974921630094046,0.018982662851440492,1168.0,64.0,17.0,346.0,1595
4,50,0.011526568792760372,0.030113056302070618,0.1230398565530777,0.03999844938516617,0.020159093206748368,1.0,1.0,0.9473683834075928,0.9945206046104431,0.9981249999999999,0.020159093206748368,1146.0,70.0,19.0,365.0,1600
4,100,0.011260231956839561,0.04182163253426552,0.08328182995319366,0.025374894961714745,0.01617867235094308,0.9991531372070312,1.0,1.0,1.0,0.9993749999999998,0.01617867235094308,1181.0,52.0,19.0,348.0,1600
4,150,0.010662700980901718,0.04739311337471008,0.0658377856016159,0.026537245139479637,0.016136856500911873,1.0,1.0,1.0,1.0,1.0,0.016136856500911873,1171.0,62.0,18.0,344.0,1595
5,50,0.010637323372066021,0.026927459985017776,0.12282734364271164,0.026416858658194542,0.016471270490437742,1.0,1.0,0.9583333730697632,1.0,0.9993749999999998,0.016471270490437742,1157.0,59.0,24.0,360.0,1600
5,100,0.014707181602716446,0.0360804945230484,0.10435226559638977,0.0309571735560894,0.020301898233592505,0.9991430640220642,1.0,1.0,1.0,0.9993749999999998,0.020301898233592505,1167.0,73.0,21.0,339.0,1600
5,150,0.013001791201531887,0.02568189986050129,0.15530283749103546,0.02927597612142563,0.018049337350556093,1.0,1.0,0.9090909957885742,0.9972066879272461,0.998746081504702,0.018049337350556093,1174.0,52.0,11.0,358.0,1595
6,50,0.012187507934868336,0.04205698519945145,0.11087576299905777,0.021361365914344788,0.016527861692011356,1.0,1.0,0.9500000476837158,1.0,0.999375,0.016527861692011356,1169.0,58.0,20.0,353.0,1600
6,100,0.013725358992815018,0.03881267085671425,0.08896471560001373,0.02755386382341385,0.018769923150539405,1.0,1.0,1.0,1.0,1.0,0.018769923150539405,1150.0,66.0,18.0,366.0,1600
6,150,0.017725542187690735,0.044332195073366165,0.07785452157258987,0.02961229346692562,0.021923944749942394,0.9991518259048462,1.0,1.0,1.0,0.9993730407523511,0.021923944749942394,1179.0,60.0,18.0,338.0,1595
7,50,0.016053473576903343,0.038617413491010666,0.09312936663627625,0.037621352821588516,0.02284551452845334,1.0,1.0,1.0,1.0,1.0,0.02284551452845334,1153.0,61.0,21.0,365.0,1600
7,100,0.020035767927765846,0.033009838312864304,0.09172555059194565,0.0291205532848835,0.023461660388857115,1.0,1.0,1.0,1.0,1.0,0.023461660388857115,1164.0,69.0,20.0,347.0,1600
7,150,0.020953485742211342,0.06560291349887848,0.08302401006221771,0.03655342385172844,0.02642314298936751,1.0,1.0,1.0,0.997101366519928,0.9993730407523511,0.02642314298936751,1181.0,54.0,15.0,345.0,1595
