epoch,batch,loss_group:0,loss_group:1,loss_avg,acc_group:0,acc_group:1,acc_avg,objective,alpha_group:0,alpha_group:1,count_group:0,count_group:1,count
0,50,0.4840361773967743,0.4950469136238098,0.48975486844778043,0.7607280611991882,0.7581227421760559,0.7593749999999998,0.48801832467317574,0.5004076361656189,0.49961206316947937,769.0,831.0,1600
0,100,0.1795656830072403,0.16441042721271515,0.17201648443937298,0.9389787912368774,0.9435381889343262,0.9412500000000001,0.17131322227418427,0.5001124739646912,0.49991872906684875,803.0,797.0,1600
0,150,0.10841898620128632,0.08711390197277069,0.09789960067719221,0.9691357612609863,0.9772151708602905,0.973125,0.098636337518692,0.5009000897407532,0.4990968406200409,810.0,790.0,1600
0,200,0.08089915663003922,0.06924839317798615,0.07508834604173893,0.9775561094284058,0.9849624037742615,0.98125,0.07520519018173216,0.5021736025810242,0.4977859556674957,802.0,798.0,1600
0,250,0.07877184450626373,0.06522341072559357,0.07189603094011543,0.9733505249023438,0.9864530563354492,0.9800000000000001,0.07305537022650241,0.5031887888908386,0.4968124330043793,788.0,812.0,1600
0,300,0.07326243072748184,0.053486716002225876,0.06343636430799962,0.9776397943496704,0.9924527406692505,0.9849999999999999,0.06283722037449478,0.5042091012001038,0.4958043098449707,805.0,795.0,1600
0,350,0.057206038385629654,0.038905512541532516,0.04796426957473159,0.9797980189323425,0.9938119053840637,0.9868750000000002,0.04930192928761242,0.5052738189697266,0.49474233388900757,792.0,808.0,1600
0,400,0.03647764027118683,0.032407600432634354,0.03443498732522131,0.9899623990058899,0.9975093007087708,0.9937499999999998,0.03340738326311111,0.5059807300567627,0.4940234124660492,797.0,803.0,1600
0,450,0.03432503715157509,0.022235751152038574,0.02806127828545868,0.9909210205078125,0.9987936019897461,0.995,0.027609031219035383,0.5065394043922424,0.4934549629688263,771.0,829.0,1600
0,500,0.03080710954964161,0.02637956477701664,0.02867635300382971,0.9891566634178162,0.997402548789978,0.9931250000000001,0.02799923354759812,0.5070558786392212,0.49294349551200867,830.0,770.0,1600
0,550,0.0274164117872715,0.022484345361590385,0.024999696826562275,0.9926469326019287,0.9987245202064514,0.995625,0.02442620599642395,0.5072792768478394,0.49271708726882935,816.0,784.0,1600
0,600,0.0241174828261137,0.021850062534213066,0.02295967733487485,0.9910600185394287,0.9975518584251404,0.9943749999999999,0.022718565268442032,0.5074276328086853,0.4925757944583893,783.0,817.0,1600
0,650,0.029164155945181847,0.020334837958216667,0.024865379044786085,0.9926919341087341,1.0,0.9962500000000001,0.024410731699317685,0.5078461766242981,0.49215924739837646,821.0,779.0,1600
0,700,0.01864480972290039,0.016446471214294434,0.01752366022206842,0.9974491596221924,1.0,0.9987499999999998,0.017681348901242015,0.5080055594444275,0.4919949173927307,784.0,816.0,1600
0,750,0.026435209438204765,0.02181949093937874,0.0241533163562417,0.9913474321365356,0.9987357258796692,0.995,0.024292382625862953,0.5082175731658936,0.49177736043930054,809.0,791.0,1600
0,800,0.03423994407057762,0.02203001081943512,0.027982354797422882,0.9910257458686829,0.9987804293632507,0.9949999999999999,0.027493271389976145,0.5086223483085632,0.49137991666793823,780.0,820.0,1600
0,850,0.02629450522363186,0.0237711351364851,0.0250549009256065,0.9914003014564514,1.0,0.995625,0.025024198591709134,0.5089563727378845,0.49103885889053345,814.0,786.0,1600
0,900,0.023659227415919304,0.01854812353849411,0.021157981492578973,0.9951040744781494,1.0,0.9974999999999999,0.02032938612625004,0.5092840194702148,0.4907132089138031,817.0,783.0,1600
0,950,0.02481437660753727,0.018813613802194595,0.021821492584422227,0.9950125813484192,1.0,0.9975,0.021445629447698598,0.5094869136810303,0.49052080512046814,802.0,798.0,1600
0,1000,0.024152511730790138,0.021845286712050438,0.022967174779623758,0.9948585629463196,0.9975669384002686,0.99625,0.022057904191315172,0.5097906589508057,0.49020829796791077,778.0,822.0,1600
0,1050,0.023118628188967705,0.019164351746439934,0.021114301979541773,0.9974651336669922,1.0,0.9987499999999999,0.02147252727299928,0.5098758339881897,0.4901272654533386,789.0,811.0,1600
0,1100,0.024871153756976128,0.020011235028505325,0.022483711559325457,0.9950860738754272,1.0,0.9974999999999998,0.022386991549283256,0.5101054906845093,0.48989391326904297,814.0,786.0,1600
0,1150,0.022690510377287865,0.019665829837322235,0.021193293407559394,0.9950495362281799,1.0,0.9974999999999998,0.02109936656430363,0.5102440118789673,0.4897565245628357,808.0,792.0,1600
0,1200,0.024349818006157875,0.022533303126692772,0.02343020455911755,0.9962024688720703,1.0,0.9981249999999998,0.022680142205208538,0.5103632807731628,0.48963746428489685,790.0,810.0,1600
0,1250,0.02002071961760521,0.018236855044960976,0.01911875450983644,0.9987357258796692,1.0,0.9993750000000001,0.018830780927091836,0.5104938745498657,0.4895040690898895,791.0,809.0,1600
0,1300,0.022616056725382805,0.02092166431248188,0.0217286217957735,0.9986876845359802,1.0,0.9993750000000001,0.022384415753185737,0.5105063319206238,0.48948854207992554,762.0,838.0,1600
0,1350,0.037837907671928406,0.03250253200531006,0.035230244863778355,0.9926648736000061,0.9961637258529663,0.994375,0.03513619296252726,0.5108364820480347,0.48917150497436523,818.0,782.0,1600
0,1400,0.053719066083431244,0.04018176347017288,0.04701810143887996,0.9888612627983093,0.9974746704101562,0.993125,0.04648607861250638,0.5114526152610779,0.48856350779533386,808.0,792.0,1600
0,1450,0.038888826966285706,0.0331602580845356,0.035949348323047164,0.9884467124938965,0.9975640773773193,0.9931250000000001,0.0356552906706929,0.5119128227233887,0.48808979988098145,779.0,821.0,1600
