epoch,batch,loss_group:0,loss_group:1,loss_avg,acc_group:0,acc_group:1,acc_avg,objective,count_group:0,count_group:1,count
0,50,0.0838685929775238,3.377805709838867,0.13327767737209795,0.9835023880004883,0.0,0.9687499999999998,0.13327767737209795,1576.0,24.0,1600
0,100,0.019079428166151047,3.4575843811035156,0.059911668971180894,1.0,0.0,0.9881250000000001,0.059911668971180894,1581.0,19.0,1600
0,150,0.015539213083684444,2.815936803817749,0.0417929383739829,1.0,0.0,0.9906250000000001,0.0417929383739829,1585.0,15.0,1600
0,200,0.015271848998963833,3.3361268043518066,0.05470699540339408,1.0,0.05263157933950424,0.9887499999999999,0.05470699540339408,1581.0,19.0,1600
0,250,0.014043843373656273,3.589564323425293,0.047564348485320804,1.0,0.0,0.990625,0.047564348485320804,1585.0,15.0,1600
0,300,0.013691091910004616,2.745729923248291,0.035888903830200415,1.0,0.0,0.9918749999999997,0.035888903830200415,1587.0,13.0,1600
0,350,0.01418117806315422,3.248877763748169,0.046528137894347316,1.0,0.0,0.9899999999999999,0.046528137894347316,1584.0,16.0,1600
0,400,0.014974568970501423,3.031794548034668,0.04325725413858889,1.0,0.06666667014360428,0.99125,0.04325725413858889,1585.0,15.0,1600
0,450,0.018185721710324287,2.507160186767578,0.04151985658332705,1.0,0.0,0.9906249999999998,0.04151985658332705,1585.0,15.0,1600
0,500,0.01406375877559185,2.5094897747039795,0.04213730492629111,1.0,0.0,0.9887499999999999,0.04213730492629111,1582.0,18.0,1600
0,550,0.016520896926522255,2.571617364883423,0.03887799449265004,1.0,0.1428571492433548,0.9924999999999998,0.03887799449265004,1586.0,14.0,1600
0,600,0.012569938786327839,2.4203298091888428,0.024608739288523793,1.0,0.0,0.995,0.024608739288523793,1592.0,8.0,1600
0,650,0.012035943567752838,3.1593711376190186,0.03957512854598461,1.0,0.0,0.9912499999999999,0.03957512854598461,1586.0,14.0,1600
0,700,0.01507505401968956,2.6308352947235107,0.03632810575887558,1.0,0.0,0.9918750000000002,0.03632810575887558,1587.0,13.0,1600
0,750,0.016538286581635475,2.1739907264709473,0.039461219981312745,1.0,0.0,0.989375,0.039461219981312745,1583.0,17.0,1600
0,800,0.014140761457383633,2.447957992553711,0.03239438407123087,1.0,0.0833333358168602,0.9931250000000001,0.03239438407123087,1588.0,12.0,1600
0,850,0.016940046101808548,2.6340482234954834,0.0365683590993285,1.0,0.0,0.9925,0.0365683590993285,1588.0,12.0,1600
0,900,0.016363048925995827,2.6458675861358643,0.04265809467062353,1.0,0.0,0.9899999999999998,0.04265809467062353,1584.0,16.0,1600
0,950,0.016649236902594566,2.017338275909424,0.03040397694334387,1.0,0.0,0.9931249999999997,0.03040397694334387,1589.0,11.0,1600
0,1000,0.019057711586356163,1.9850013256072998,0.04363200401887296,1.0,0.0,0.9875000000000002,0.04363200401887296,1580.0,20.0,1600
0,1050,0.01881261169910431,1.70747971534729,0.0441426144912839,1.0,0.125,0.9868750000000001,0.0441426144912839,1576.0,24.0,1600
0,1100,0.017548639327287674,2.4116015434265137,0.03400774965062737,1.0,0.09090909361839294,0.99375,0.03400774965062737,1589.0,11.0,1600
0,1150,0.02019231952726841,2.0124964714050293,0.036379792336374506,1.0,0.0,0.9918749999999997,0.036379792336374506,1587.0,13.0,1600
0,1200,0.018501682206988335,2.174618721008301,0.03602013142779468,1.0,0.0,0.991875,0.03602013142779468,1587.0,13.0,1600
0,1250,0.02124612033367157,1.7181367874145508,0.039275583364069486,1.0,0.05882352963089943,0.9900000000000001,0.039275583364069486,1583.0,17.0,1600
0,1300,0.020042089745402336,1.7618155479431152,0.03963704008609056,1.0,0.0555555559694767,0.9893749999999999,0.03963704008609056,1582.0,18.0,1600
0,1350,0.024807902052998543,1.3825896978378296,0.04178017623722552,0.9993671178817749,0.15000000596046448,0.9887499999999999,0.04178017623722552,1580.0,20.0,1600
0,1400,0.020386962220072746,1.6576628684997559,0.038806312717497356,1.0,0.1111111119389534,0.9900000000000001,0.038806312717497356,1582.0,18.0,1600
0,1450,0.02383359894156456,1.7502262592315674,0.041097519807517524,1.0,0.125,0.9912499999999997,0.041097519807517524,1584.0,16.0,1600
0,1500,0.021176345646381378,1.2515056133270264,0.03194172639399767,1.0,0.3571428656578064,0.9943749999999999,0.03194172639399767,1586.0,14.0,1600
0,1550,0.024096181616187096,1.6375949382781982,0.04224803950637578,1.0,0.1666666865348816,0.9906250000000001,0.04224803950637578,1582.0,18.0,1600
0,1563,0.02555745840072632,1.8952678442001343,0.058359393369135704,1.0,0.0,0.9824561403508771,0.058359393369135704,392.0,7.0,399
1,50,0.02925698086619377,1.4319047927856445,0.050296697281301,1.0,0.0833333358168602,0.9862499999999998,0.050296697281301,1576.0,24.0,1600
1,100,0.027771515771746635,1.7411408424377441,0.039550927840173236,0.9993706941604614,0.0,0.9924999999999999,0.039550927840173236,1589.0,11.0,1600
1,150,0.0263131782412529,1.441798210144043,0.03604464087635278,1.0,0.09090909361839294,0.99375,0.03604464087635278,1589.0,11.0,1600
1,200,0.029652291908860207,1.7625576257705688,0.0480644106119871,1.0,0.05882352963089943,0.9899999999999999,0.0480644106119871,1583.0,17.0,1600
1,250,0.029349960386753082,1.7794811725616455,0.042475948743522174,1.0,0.0,0.9925,0.042475948743522174,1588.0,12.0,1600
1,300,0.03521718829870224,1.3719122409820557,0.04941957026720047,1.0,0.11764705926179886,0.990625,0.04941957026720047,1583.0,17.0,1600
