epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_group:3,loss_group:4,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_group:3,acc_group:4,acc_avg,objective,alpha_group:0,alpha_group:1,alpha_group:2,alpha_group:3,alpha_group:4,count_group:0,count_group:1,count_group:2,count_group:3,count_group:4,count
0,50,0.49316272139549255,nan,nan,0.4003647267818451,0.5582631826400757,0.484852816462517,0.7569062113761902,nan,nan,0.809615433216095,0.7523277997970581,0.7725,0.4862213313579559,0.34273043274879456,nan,nan,0.32760563492774963,0.32966873049736023,543.0,0.0,0.0,520.0,537.0,1600
0,100,0.3694678544998169,nan,nan,0.28415098786354065,0.41799333691596985,0.35734337121248244,0.8499999642372131,nan,nan,0.885057270526886,0.8378381133079529,0.8574999999999999,0.36124502211809156,0.34885019063949585,nan,nan,0.2957703769207001,0.35597938299179077,560.0,0.0,0.0,522.0,518.0,1600
0,150,0.30816707015037537,nan,nan,0.2343437671661377,0.322875440120697,0.2875705265998841,0.8867924809455872,nan,nan,0.9163636565208435,0.8865386843681335,0.896875,0.29310664698481553,0.3615168035030365,nan,nan,0.2741556763648987,0.36430978775024414,530.0,0.0,0.0,550.0,520.0,1600
0,200,0.28010886907577515,nan,nan,0.23323297500610352,0.2979985475540161,0.2695580430328846,0.901486873626709,nan,nan,0.8935019373893738,0.8818897008895874,0.8924999999999998,0.2684919406473636,0.36104434728622437,nan,nan,0.2617250978946686,0.3772396743297577,538.0,0.0,0.0,554.0,508.0,1600
0,250,0.2503083050251007,nan,nan,0.22608372569084167,0.3178834617137909,0.26522039681673043,0.8964220285415649,nan,nan,0.9070208072662354,0.8726937174797058,0.891875,0.26740647733211514,0.3661252558231354,nan,nan,0.25083041191101074,0.3835085928440094,531.0,0.0,0.0,527.0,542.0,1600
0,300,0.24705487489700317,nan,nan,0.2457154095172882,0.20432531833648682,0.2321857677400112,0.9142855405807495,nan,nan,0.9028038382530212,0.9259258508682251,0.9143749999999995,0.2310314066708087,0.37064018845558167,nan,nan,0.24426999688148499,0.38514626026153564,525.0,0.0,0.0,535.0,540.0,1600
0,350,0.2310854196548462,nan,nan,0.21301592886447906,0.2505095899105072,0.23171624392271034,0.9047619104385376,nan,nan,0.926415205001831,0.910091757774353,0.9137499999999998,0.23663837417960162,0.3754712641239166,nan,nan,0.24571748077869415,0.37896549701690674,525.0,0.0,0.0,530.0,545.0,1600
0,400,0.2337968945503235,nan,nan,0.25599849224090576,0.19120502471923828,0.22730659306049347,0.906474769115448,nan,nan,0.9030416011810303,0.942084789276123,0.9168750000000002,0.22595414564013475,0.3879833221435547,nan,nan,0.23661258816719055,0.37557095289230347,556.0,0.0,0.0,526.0,518.0,1600
0,450,0.2283082753419876,nan,nan,0.21414148807525635,0.22208493947982788,0.22161857277154928,0.9166666269302368,nan,nan,0.9226304292678833,0.9042357206344604,0.914375,0.22336170986294748,0.3911675214767456,nan,nan,0.2411094456911087,0.36790943145751953,540.0,0.0,0.0,517.0,543.0,1600
0,500,0.2425154596567154,nan,nan,0.2452099472284317,0.26288068294525146,0.2503632313013077,0.914171576499939,nan,nan,0.9046764373779297,0.9079189300537109,0.9087500000000001,0.2599054709076882,0.39466795325279236,nan,nan,0.23165185749530792,0.37343674898147583,501.0,0.0,0.0,556.0,543.0,1600
