epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_avg,objective,alpha_group:0,alpha_group:1,alpha_group:2,count_group:0,count_group:1,count_group:2,count
0,8,0.63665372133255,0.6081925630569458,0.3302026093006134,0.5407788233757019,0.542553186416626,0.6093294620513916,1.0,0.6940000033378602,0.5288888964653015,0.3391929566860199,0.34054309129714966,0.321195513010025,376.0,343.0,281.0,1000
1,8,0.49155914783477783,0.5257721543312073,0.2856513559818268,0.43702550935745244,0.7125381827354431,0.691428542137146,1.0,0.7980000009536744,0.44045167279243475,0.34776487946510315,0.3511504828929901,0.3011496365070343,327.0,350.0,323.0,1000
2,8,0.41854581236839294,0.4568883180618286,0.24246430397033691,0.36852798867225645,0.7648809552192688,0.7756409645080566,1.0,0.8510000057220459,0.3809812965393066,0.3527141511440277,0.3603258728981018,0.286922425031662,336.0,312.0,352.0,1000
3,8,0.41075044870376587,0.4080790579319,0.23568838834762573,0.354183126449585,0.7716763615608215,0.8125,1.0,0.8580000038146973,0.3595430645942688,0.35747265815734863,0.36826014518737793,0.27437466382980347,346.0,336.0,318.0,1000
4,8,0.34534919261932373,0.39121413230895996,0.22115132212638855,0.3197096061706543,0.8597560524940491,0.8264706134796143,1.0,0.8950000028610229,0.33118468594551087,0.3608469069004059,0.37559327483177185,0.2636595666408539,328.0,340.0,332.0,1000
5,8,0.3533206880092621,0.31875231862068176,0.21147768199443817,0.29436360907554626,0.8425414562225342,0.8945578932762146,1.0,0.9120000066757201,0.3030970194339752,0.3635100722312927,0.3808288276195526,0.2558344602584839,362.0,294.0,344.0,1000
6,8,0.3258039355278015,0.31511369347572327,0.21283571422100067,0.2845554504394531,0.8694362044334412,0.8905775547027588,1.0,0.9200000042915344,0.29322090816497803,0.364990770816803,0.3864397406578064,0.2484944462776184,337.0,329.0,334.0,1000
7,8,0.30418235063552856,0.3369748890399933,0.18985486030578613,0.2791856813430786,0.8828339576721191,0.8540372848510742,1.0,0.9100000066757201,0.28976073145866393,0.3656601905822754,0.3914504647254944,0.24281282722949982,367.0,322.0,311.0,1000
8,8,0.30962130427360535,0.2820906639099121,0.1911017745733261,0.26060954904556277,0.8958991169929504,0.9088319540023804,1.0,0.9350000028610229,0.27228942346572876,0.36721107363700867,0.39530861377716064,0.23744013905525208,317.0,351.0,332.0,1000
9,8,0.2678852081298828,0.2660439610481262,0.20916901528835297,0.24900029122829437,0.9342857003211975,0.9233038425445557,1.0,0.9510000033378601,0.254276899933815,0.36712101101875305,0.398843377828598,0.23398078978061676,350.0,339.0,311.0,1000
10,8,0.2838491201400757,0.2749587595462799,0.18780860304832458,0.25030329799652096,0.9069767594337463,0.9053255319595337,1.0,0.9360000019073486,0.256480684876442,0.36664628982543945,0.40270358324050903,0.2308160662651062,344.0,338.0,318.0,1000
11,8,0.2693558633327484,0.2697394788265228,0.1813829243183136,0.2407134002447128,0.8908047080039978,0.9138461947441101,1.0,0.9340000019073486,0.24998232650756838,0.3653256595134735,0.4064399003982544,0.2283419370651245,348.0,325.0,327.0,1000
12,8,0.2657841145992279,0.23251640796661377,0.17470571398735046,0.22328718972206119,0.8898810148239136,0.9228295683860779,1.0,0.9390000019073487,0.23226499330997466,0.36384204030036926,0.41009506583213806,0.22598204016685486,336.0,311.0,353.0,1000
13,8,0.3155058026313782,0.24364355206489563,0.1814027726650238,0.24834698486328124,0.847025454044342,0.911111056804657,1.0,0.9180000028610229,0.2543427257537842,0.3646930754184723,0.41301655769348145,0.2222403585910797,353.0,315.0,332.0,1000
14,8,0.2826441526412964,0.2369852513074875,0.18074694275856018,0.23407033896446228,0.8742515444755554,0.9125363826751709,1.0,0.9280000047683715,0.24242481231689453,0.36404234170913696,0.41555917263031006,0.220394566655159,334.0,343.0,323.0,1000
15,8,0.2744072377681732,0.22792038321495056,0.16178001463413239,0.22353535485267637,0.8945868611335754,0.9255952835083008,1.0,0.938000002861023,0.23001819062232967,0.36393070220947266,0.4181743562221527,0.21792776882648468,351.0,336.0,313.0,1000
16,8,0.20233449339866638,0.2631128430366516,0.1589222103357315,0.20917666053771972,0.9337350130081177,0.866279125213623,1.0,0.9320000033378602,0.21828219568729398,0.36322927474975586,0.42165958881378174,0.2151792347431183,332.0,344.0,324.0,1000
17,8,0.2563066780567169,0.22615699470043182,0.16647082567214966,0.21468213117122653,0.9147059321403503,0.9121621251106262,1.0,0.9450000047683715,0.22504185867309573,0.3632509112358093,0.42460575699806213,0.21211721003055573,340.0,296.0,364.0,1000
18,8,0.25432807207107544,0.2537795305252075,0.15784141421318054,0.22365891122817994,0.8907563090324402,0.8990825414657593,1.0,0.9280000019073487,0.23723462343215945,0.36302047967910767,0.4267221987247467,0.2102714478969574,357.0,327.0,316.0,1000
19,8,0.21726784110069275,0.2108510136604309,0.15940727293491364,0.1955547947883606,0.9191617369651794,0.9388378858566284,1.0,0.9530000066757202,0.202836553812027,0.36173999309539795,0.42923206090927124,0.2090720534324646,334.0,327.0,339.0,1000
