epoch,batch,loss_group:0,loss_group:1,loss_avg,acc_group:0,acc_group:1,acc_avg,objective,alpha_group:0,alpha_group:1,count_group:0,count_group:1,count
0,50,0.5913094878196716,0.3612514138221741,0.47182306766509996,0.6566970944404602,0.871239423751831,0.7681250000000002,0.45175257265567786,0.39709579944610596,0.6029508113861084,769.0,831.0,1600
0,100,0.2034178078174591,0.11600290238857269,0.15987427212297903,0.9128268361091614,0.9711417555809021,0.941875,0.14938943669199936,0.3983186185359955,0.6018190979957581,803.0,797.0,1600
0,150,0.10998475551605225,0.05992686375975609,0.08526867803186178,0.9641974568367004,0.9873418211936951,0.9756250000000002,0.07987186927348369,0.3992851972579956,0.6006417870521545,810.0,790.0,1600
0,200,0.09216395765542984,0.048525650054216385,0.07039934203028675,0.9688278436660767,0.9937341809272766,0.9812500000000002,0.06651597127318382,0.4037171006202698,0.5960769653320312,802.0,798.0,1600
0,250,0.0950363427400589,0.046961478888988495,0.07063835421577094,0.9670050740242004,0.993842363357544,0.9806250000000001,0.06756740476936099,0.40873461961746216,0.591256856918335,788.0,812.0,1600
0,300,0.08225685358047485,0.04313492402434349,0.06281813912093635,0.9664596915245056,0.9886792898178101,0.9775,0.05806139757856725,0.41357848048210144,0.5864649415016174,805.0,795.0,1600
0,350,0.06437018513679504,0.029339101165533066,0.04667948530986904,0.9835859537124634,0.9962870478630066,0.99,0.04482650797814129,0.4168258011341095,0.583231508731842,792.0,808.0,1600
0,400,0.03922949731349945,0.025898616760969162,0.032539062071591594,0.9849433898925781,0.9975093007087708,0.9912499999999999,0.03114618711173534,0.41904157400131226,0.5809851884841919,797.0,803.0,1600
0,450,0.043480612337589264,0.017943503335118294,0.030249197511002416,0.9883268475532532,1.0,0.9943749999999999,0.028160619875416158,0.42100977897644043,0.5789695978164673,771.0,829.0,1600
0,500,0.033054549247026443,0.020131506025791168,0.026835338296368697,0.9891565442085266,1.0,0.9943749999999999,0.02522981472313404,0.4221806228160858,0.5778185129165649,830.0,770.0,1600
0,550,0.03075343742966652,0.019304992631077766,0.02514369724318386,0.9901960492134094,1.0,0.9949999999999997,0.023501008534803976,0.4221991300582886,0.5778082013130188,816.0,784.0,1600
0,600,0.0283029954880476,0.016136502847075462,0.022090477962046853,0.989782989025116,1.0,0.995,0.020946009643375882,0.42224907875061035,0.5777499675750732,783.0,817.0,1600
0,650,0.036516137421131134,0.017445683479309082,0.027231205860152836,0.9902557730674744,0.9987163543701172,0.9943749999999999,0.02510868541896342,0.423354834318161,0.5766910314559937,821.0,779.0,1600
0,700,0.020454583689570427,0.014201539568603039,0.017265529995784158,0.9961734414100647,1.0,0.9981249999999999,0.016816304894164216,0.42354944348335266,0.5764569640159607,784.0,816.0,1600
0,750,0.028197823092341423,0.018281305208802223,0.023295346572995184,0.9913474321365356,1.0,0.995625,0.022880097422748807,0.42337530851364136,0.5766223073005676,809.0,791.0,1600
0,800,0.040496982634067535,0.01767594739794731,0.028801202215254302,0.9910256862640381,0.9987804293632507,0.995,0.02733899604529142,0.4245859682559967,0.5754228234291077,780.0,820.0,1600
0,850,0.034196384251117706,0.021605977788567543,0.028011341653764243,0.9926290512084961,1.0,0.9962499999999997,0.027180636608973137,0.4249922037124634,0.5749921202659607,814.0,786.0,1600
0,900,0.027638597413897514,0.015191989950835705,0.02154753878712654,0.993880033493042,1.0,0.996875,0.020109070185571908,0.4257047772407532,0.5742660760879517,817.0,783.0,1600
0,950,0.028661735355854034,0.017186405137181282,0.02293841268867254,0.9937655925750732,1.0,0.9968749999999996,0.02162657603621483,0.4260457158088684,0.5739662647247314,802.0,798.0,1600
0,1000,0.030413249507546425,0.019448179751634598,0.024779949076473712,0.9935733675956726,0.9987834095954895,0.9962500000000001,0.02323404122143984,0.42612138390541077,0.5739034414291382,778.0,822.0,1600
0,1050,0.022926345467567444,0.015603452920913696,0.019214555704966194,0.9961977601051331,1.0,0.9981249999999999,0.018796921465545895,0.42498356103897095,0.5749889612197876,789.0,811.0,1600
0,1100,0.024929847568273544,0.01778528280556202,0.021420077811926605,0.9926290512084961,1.0,0.9962500000000001,0.02082290407270193,0.4245157837867737,0.5754631161689758,814.0,786.0,1600
0,1150,0.025909341871738434,0.0161583311855793,0.02108259079977869,0.9950495362281799,1.0,0.9974999999999998,0.020422278642654418,0.4233967661857605,0.5766090154647827,808.0,792.0,1600
0,1200,0.03620471805334091,0.02267059125006199,0.02935306260362268,0.9924049973487854,0.9987654685974121,0.9956249999999996,0.027095893193036298,0.423141747713089,0.5768491625785828,790.0,810.0,1600
0,1250,0.022881627082824707,0.015588484704494476,0.01919403137639164,0.9987357258796692,1.0,0.9993750000000001,0.01832700304687022,0.4224570393562317,0.5775684714317322,791.0,809.0,1600
0,1300,0.028853729367256165,0.019949179142713547,0.02418997393921017,0.9973753094673157,1.0,0.9987499999999997,0.024156940951943394,0.4213460683822632,0.5786266326904297,762.0,838.0,1600
0,1350,0.04141644760966301,0.02427283301949501,0.03303750658407805,0.9889975190162659,0.9974425435066223,0.9931249999999999,0.031597265936434256,0.4209827780723572,0.5790327787399292,818.0,782.0,1600
0,1400,0.05555274337530136,0.033658839762210846,0.04471525523811578,0.9863861203193665,0.9962121248245239,0.9912499999999999,0.042454624846577665,0.4220597445964813,0.5779575109481812,808.0,792.0,1600
0,1450,0.042552366852760315,0.026331059634685516,0.03422880373895169,0.9897304177284241,0.9987820386886597,0.994375,0.03254228223115204,0.42148417234420776,0.5785237550735474,779.0,821.0,1600
