epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_group:3,loss_group:4,loss_group:5,loss_group:6,loss_group:7,loss_group:8,loss_group:9,loss_group:10,loss_group:11,loss_group:12,loss_group:13,loss_group:14,loss_group:15,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_group:3,acc_group:4,acc_group:5,acc_group:6,acc_group:7,acc_group:8,acc_group:9,acc_group:10,acc_group:11,acc_group:12,acc_group:13,acc_group:14,acc_group:15,acc_avg,objective,alpha_group:0,alpha_group:1,alpha_group:2,alpha_group:3,alpha_group:4,alpha_group:5,alpha_group:6,alpha_group:7,alpha_group:8,alpha_group:9,alpha_group:10,alpha_group:11,alpha_group:12,alpha_group:13,alpha_group:14,alpha_group:15,count_group:0,count_group:1,count_group:2,count_group:3,count_group:4,count_group:5,count_group:6,count_group:7,count_group:8,count_group:9,count_group:10,count_group:11,count_group:12,count_group:13,count_group:14,count_group:15,count
0,500,2.905095100402832,2.931602954864502,3.0300803184509277,2.9668679237365723,2.8803329467773438,2.9060115814208984,2.9798922538757324,3.088956594467163,3.0146400928497314,2.964900493621826,3.18705415725708,nan,nan,nan,nan,nan,2.986959709644315,0.30102384090423584,0.27240654826164246,0.2518719434738159,0.2827298045158386,0.3110463619232178,0.2869683802127838,0.2551770508289337,0.23319613933563232,0.27747634053230286,0.2965426445007324,0.22839070856571198,nan,nan,nan,nan,nan,0.2723750000000004,2.8411897909641266,0.08854321390390396,0.09036777168512344,0.09142822027206421,0.09224209189414978,0.08908046036958694,0.08799176663160324,0.09177825599908829,0.0923818051815033,0.08887983113527298,0.09178576618432999,0.09572124481201172,nan,nan,nan,nan,nan,1465.0,1417.0,1469.0,1436.0,1376.0,1481.0,1497.0,1458.0,1474.0,1504.0,1423.0,0.0,0.0,0.0,0.0,0.0,16000
0,1000,2.0697453022003174,2.1401782035827637,2.184330940246582,2.153714179992676,2.0845985412597656,2.046762466430664,2.1317038536071777,2.31532621383667,2.369209051132202,2.3106770515441895,2.398035764694214,nan,nan,nan,nan,nan,2.2005108034610763,0.4883401095867157,0.45601704716682434,0.45541220903396606,0.46344804763793945,0.46502065658569336,0.48409393429756165,0.45161283016204834,0.4068024158477783,0.40230631828308105,0.39758238196372986,0.4019884765148163,nan,nan,nan,nan,nan,0.4428750000000002,2.101462793350222,0.08316786587238312,0.0872320681810379,0.09108512848615646,0.093192920088768,0.08225300908088684,0.08342006802558899,0.09307396411895752,0.09612242877483368,0.0910724624991417,0.09269233047962189,0.10652266442775726,nan,nan,nan,nan,nan,1458.0,1421.0,1469.0,1450.0,1458.0,1446.0,1457.0,1470.0,1474.0,1489.0,1408.0,0.0,0.0,0.0,0.0,0.0,16000
0,1500,1.6303542852401733,1.780497670173645,1.7057384252548218,1.708460807800293,1.727064847946167,1.5544049739837646,1.6300787925720215,1.9901671409606934,2.0841126441955566,1.918501615524292,2.143646001815796,nan,nan,nan,nan,nan,1.8057899141311655,0.5929198861122131,0.550724446773529,0.5666664838790894,0.5593706965446472,0.5568261742591858,0.6224152445793152,0.5813628435134888,0.4884980022907257,0.4545457065105438,0.49823808670043945,0.46005508303642273,nan,nan,nan,nan,nan,0.5395625000000007,1.7497024861574186,0.07694900035858154,0.08514747768640518,0.08946109563112259,0.0906328558921814,0.07829988747835159,0.07514651119709015,0.08631744980812073,0.10198963433504105,0.0994192436337471,0.098556749522686,0.11802981048822403,nan,nan,nan,nan,nan,1469.0,1449.0,1470.0,1398.0,1487.0,1499.0,1438.0,1478.0,1441.0,1419.0,1452.0,0.0,0.0,0.0,0.0,0.0,16000
0,2000,1.3890175819396973,1.4831749200820923,1.2773810625076294,1.3965290784835815,1.419349193572998,1.2961784601211548,1.306536316871643,1.7204991579055786,1.857674479484558,1.7470018863677979,1.903874397277832,nan,nan,nan,nan,nan,1.5254582743644696,0.6530188918113708,0.6325831413269043,0.6750991940498352,0.6380678415298462,0.6255033016204834,0.6686749458312988,0.6818181872367859,0.5559490919113159,0.5045232176780701,0.5398346185684204,0.4904240369796753,nan,nan,nan,nan,nan,0.6063750000000009,1.4893780968189245,0.07205045223236084,0.08164113759994507,0.08125501126050949,0.0830874964594841,0.07380877435207367,0.06827257573604584,0.07809729874134064,0.10869625210762024,0.11362586170434952,0.10382052510976791,0.13581228256225586,nan,nan,nan,nan,nan,1441.0,1467.0,1502.0,1387.0,1490.0,1494.0,1452.0,1412.0,1437.0,1456.0,1462.0,0.0,0.0,0.0,0.0,0.0,16000
0,2402,1.1937370300292969,1.257596492767334,1.1644093990325928,1.2745718955993652,1.294285774230957,1.045170783996582,1.1944830417633057,1.6045905351638794,1.8017438650131226,1.6603953838348389,1.878442406654358,nan,nan,nan,nan,nan,1.3987436735693985,0.7126892805099487,0.6818994879722595,0.7099998593330383,0.6714524626731873,0.6734333634376526,0.7425571084022522,0.7053058743476868,0.5693494081497192,0.5093696713447571,0.5528315901756287,0.499578058719635,nan,nan,nan,nan,nan,0.6385757598111079,1.419482476101649,0.0657191351056099,0.0778057649731636,0.07263127714395523,0.07623685896396637,0.06897160410881042,0.059692684561014175,0.06919213384389877,0.11489088833332062,0.12743578851222992,0.11040760576725006,0.1570289134979248,nan,nan,nan,nan,nan,1253.0,1116.0,1100.0,1184.0,1133.0,1142.0,1225.0,1168.0,1174.0,1183.0,1185.0,0.0,0.0,0.0,0.0,0.0,12863
1,500,0.9841398000717163,1.213544487953186,1.0000048875808716,1.1041438579559326,1.1793715953826904,1.0106326341629028,1.105495572090149,1.43496572971344,1.573124647140503,1.5997858047485352,1.643641710281372,nan,nan,nan,nan,nan,1.2614788459539414,0.763374924659729,0.6844346523284912,0.7526594400405884,0.7229164838790894,0.6902217864990234,0.7478749752044678,0.7197799682617188,0.6264644861221313,0.5728882551193237,0.5607891082763672,0.5495806932449341,nan,nan,nan,nan,nan,0.6711249999999992,1.2868634331226347,0.05840779095888138,0.07126952707767487,0.0643763318657875,0.06972452998161316,0.06266999244689941,0.05077620595693588,0.06257229298353195,0.11995895951986313,0.14019839465618134,0.12024278193712234,0.17951491475105286,nan,nan,nan,nan,nan,1458.0,1407.0,1504.0,1440.0,1401.0,1412.0,1456.0,1451.0,1468.0,1571.0,1432.0,0.0,0.0,0.0,0.0,0.0,16000
1,1000,1.0351722240447998,1.1340798139572144,0.9497383236885071,1.031406044960022,1.0787439346313477,0.9627180099487305,1.0000594854354858,1.3788000345230103,1.5147755146026611,1.481929898262024,1.5998024940490723,nan,nan,nan,nan,nan,1.1956796940565113,0.7472600936889648,0.7020134925842285,0.7705717086791992,0.7391608953475952,0.7134379148483276,0.7683010101318359,0.7419354915618896,0.6313623785972595,0.6021578311920166,0.6083763837814331,0.5690720677375793,nan,nan,nan,nan,nan,0.6906874999999999,1.2566134734153753,0.049713507294654846,0.06608062237501144,0.05485403910279274,0.06206175312399864,0.057752080261707306,0.04326755180954933,0.05468827858567238,0.1266760528087616,0.1551976054906845,0.131666362285614,0.19838979840278625,nan,nan,nan,nan,nan,1460.0,1490.0,1434.0,1430.0,1518.0,1489.0,1426.0,1454.0,1483.0,1361.0,1455.0,0.0,0.0,0.0,0.0,0.0,16000
1,1500,0.9443327784538269,1.0289210081100464,0.9305320382118225,0.9913586378097534,1.1369163990020752,0.9381140470504761,0.9115934371948242,1.2827770709991455,1.4103624820709229,1.3606600761413574,1.5034096240997314,nan,nan,nan,nan,nan,1.1270969614982609,0.7627936005592346,0.7292931079864502,0.7814964652061462,0.7419571876525879,0.7018898129463196,0.7643144726753235,0.7793914079666138,0.6547362804412842,0.6181937456130981,0.629993200302124,0.5930317640304565,nan,nan,nan,nan,nan,0.7063750000000009,1.2030345750451088,0.04293452203273773,0.06032448634505272,0.046560198068618774,0.05586953088641167,0.05222649872303009,0.037185877561569214,0.0474260188639164,0.13033021986484528,0.16834208369255066,0.1395992785692215,0.21933513879776,nan,nan,nan,nan,nan,1446.0,1485.0,1524.0,1461.0,1429.0,1502.0,1446.0,1425.0,1506.0,1427.0,1349.0,0.0,0.0,0.0,0.0,0.0,16000
1,2000,0.8851200342178345,0.9929187893867493,0.8411530256271362,0.9407529234886169,1.0529874563217163,0.8290192484855652,0.8512143492698669,1.1616885662078857,1.3788297176361084,1.2900886535644531,1.4961156845092773,nan,nan,nan,nan,nan,1.063233731091023,0.7766989469528198,0.744961678981781,0.7881017923355103,0.7605828046798706,0.7251377701759338,0.7890467047691345,0.7881412506103516,0.6900712847709656,0.6166902780532837,0.6384974718093872,0.6059768199920654,nan,nan,nan,nan,nan,0.7210000000000002,1.1609885448217392,0.037377841770648956,0.05432773381471634,0.04025522992014885,0.050121597945690155,0.049151595681905746,0.03235903009772301,0.040753323584795,0.12894855439662933,0.17920398712158203,0.1467203050851822,0.2404199093580246,nan,nan,nan,nan,nan,1442.0,1439.0,1496.0,1441.0,1448.0,1479.0,1501.0,1410.0,1414.0,1491.0,1439.0,0.0,0.0,0.0,0.0,0.0,16000
1,2402,0.970395028591156,0.9343494176864624,0.8869951963424683,0.9006975889205933,1.0283321142196655,0.8383955955505371,0.9705219268798828,1.1428453922271729,1.3346915245056152,1.3063966035842896,1.4660446643829346,nan,nan,nan,nan,nan,1.0697327526585272,0.7353953719139099,0.7724195718765259,0.7763864398002625,0.7743803262710571,0.7197507619857788,0.7877551913261414,0.7464901804924011,0.6965086460113525,0.6269568204879761,0.6745961308479309,0.6000003814697266,nan,nan,nan,nan,nan,0.7195833009592186,1.1772968128079115,0.033174142241477966,0.04898199439048767,0.03456908464431763,0.04385148361325264,0.04591654613614082,0.027884364128112793,0.035904426127672195,0.12630759179592133,0.18545112013816833,0.15105853974819183,0.2669752240180969,nan,nan,nan,nan,nan,1164.0,1182.0,1118.0,1210.0,1124.0,1225.0,1211.0,1117.0,1150.0,1177.0,1185.0,0.0,0.0,0.0,0.0,0.0,12863
